Species,Aquatic,Herbivorous,Nocturnal,Scansorial,Fossorial,Large,Terrestrial,Archetype
Lacerta viridis,0.005,0,0.021,0.674,0,0.3,0,Scansorial
Lacertaspis reichenowi,0,0,0,0.98,0.001,0,0.019,Scansorial
Lacertaspis rohdei,0,0,0,0,0,0.178,0.822,Terrestrial
Lacertoides pardalis,0,0.772,0,0,0,0.228,0,Herbivorous
Laemanctus longipes,0.005,0,0.022,0.66,0,0.313,0,Scansorial
Laemanctus serratus,0,0,0.733,0,0,0.267,0,Nocturnal
Lamprolepis smaragdina,0,0.798,0,0,0,0.202,0,Herbivorous
Lampropholis adonis,0,0,0,0,0,0.136,0.864,Terrestrial
Lampropholis coggeri,0,0,0,0,0,0.092,0.908,Terrestrial
Lampropholis delicata,0,0,0,0,0,0.146,0.854,Terrestrial
Lampropholis guichenoti,0,0,0,0,0,0.132,0.868,Terrestrial
Lampropholis mirabilis,0,0,0,0.967,0.002,0,0.031,Scansorial
Lampropholis robertsi,0,0,0,0,0,0.146,0.854,Terrestrial
Lankascincus deignani,0,0,0,0,0,0.161,0.839,Terrestrial
Lankascincus deraniyagalae,0,0,0,0,0,0.171,0.829,Terrestrial
Lankascincus fallax,0,0,0,0,0,0.146,0.854,Terrestrial
Lankascincus gansi,0,0,0,0,0,0.146,0.854,Terrestrial
Lankascincus taprobanensis,0,0,0,0,0,0.161,0.839,Terrestrial
Lankascincus taylori,0,0,0,0,0,0.132,0.868,Terrestrial
Lanthanotus borneensis,0.908,0,0,0,0,0.092,0,Aquatic
Larutia larutensis,0,0,0,0,0.798,0.202,0,Fossorial
Larutia miodactyla,0,0,0,0,0.834,0.166,0,Fossorial
Larutia trifasciata,0,0,0,0,0.756,0.244,0,Fossorial
Latastia johnstonii,0,0,0,0,0,0.204,0.796,Terrestrial
Latastia longicaudata,0,0,0,0,0,0.337,0.663,Terrestrial
Laudakia agrorensis,0,0.782,0,0,0,0.218,0,Herbivorous
Laudakia melanura,0,0.713,0,0,0,0.286,0,Herbivorous
Laudakia nupta,0,0.667,0,0,0,0.333,0,Herbivorous
Laudakia pakistanica,0,0.695,0,0,0,0.305,0,Herbivorous
Laudakia papenfussi,0,0.752,0,0,0,0.248,0,Herbivorous
Laudakia tuberculata,0,0.705,0,0,0,0.295,0,Herbivorous
Laudakia wui,0,0.679,0,0,0,0.321,0,Herbivorous
Leiocephalus barahonensis,0,0.879,0,0,0,0.121,0,Herbivorous
Leiocephalus carinatus,0,0.505,0,0,0,0.332,0.163,Herbivorous
Leiocephalus cubensis,0,0.514,0,0,0,0.303,0.184,Herbivorous
Leiocephalus cuneus,0,0.471,0,0,0,0.45,0.079,Herbivorous
Leiocephalus inaguae,0,0.539,0,0,0,0.216,0.246,Herbivorous
Leiocephalus loxogrammus,0,0.536,0,0,0,0.224,0.24,Herbivorous
Leiocephalus macropus,0,0.845,0,0,0,0.155,0,Herbivorous
Leiocephalus personatus,0.003,0,0.015,0.766,0,0.215,0,Scansorial
Leiocephalus psammodromus,0,0.802,0,0,0,0.198,0,Herbivorous
Leiocephalus punctatus,0,0.893,0,0,0,0.107,0,Herbivorous
Leiocephalus raviceps,0,0.555,0,0,0,0.16,0.285,Herbivorous
Leiocephalus schreibersii,0.003,0,0.015,0.768,0,0.213,0,Scansorial
Leiocephalus semilineatus,0,0,0,0.997,0,0.003,0,Scansorial
Leiocephalus sixtoi,0,0,0,0,0,0.296,0.704,Terrestrial
Leiocephalus stictigaster,0,0.53,0,0,0,0.247,0.224,Herbivorous
Leiolepis belliana,0,0.479,0,0,0,0.423,0.098,Herbivorous
Leiolepis boehmei,0,0.506,0,0,0,0.328,0.166,Herbivorous
Leiolepis guentherpetersi,0,0.49,0,0,0,0.385,0.125,Herbivorous
Leiolepis guttata,0,0.452,0,0,0,0.518,0.03,Large
Leiolepis peguensis,0,0.487,0,0,0,0.396,0.117,Herbivorous
Leiolepis reevesii,0,0.474,0,0,0,0.441,0.085,Herbivorous
Leiolepis triploida,0,0.494,0,0,0,0.371,0.135,Herbivorous
Leiolopisma telfairii,0,0.43,0.17,0,0,0.334,0.067,Herbivorous
Leiosaurus bellii,0,0,0,0,0,0.364,0.636,Terrestrial
Leiosaurus catamarcensis,0,0,0,0,0,0.389,0.611,Terrestrial
Leiosaurus paronae,0,0,0,0,0,0.364,0.636,Terrestrial
Lepidoblepharis conolepis,0,0,0,0,0,0.113,0.887,Terrestrial
Lepidoblepharis festae,0,0,0,0,0,0.13,0.87,Terrestrial
Lepidoblepharis heyerorum,0,0,0.36,0,0,0,0.64,Terrestrial
Lepidoblepharis nukak,0,0,0,0.016,0,0.01,0.975,Terrestrial
Lepidoblepharis sanctaemartae,0,0,0,0.003,0,0.056,0.941,Terrestrial
Lepidoblepharis xanthostigma,0,0,0,0,0,0.119,0.881,Terrestrial
Lepidodactylus euaensis,0,0,0.846,0,0.03,0,0.124,Nocturnal
Lepidodactylus listeri,0,0,0.854,0,0.028,0,0.118,Nocturnal
Lepidodactylus lugubris,0,0.667,0.333,0,0,0,0,Herbivorous
Lepidodactylus pumilus,0,0.673,0.327,0,0,0,0,Herbivorous
Lepidodactylus vanuatuensis,0,0.674,0.326,0,0,0,0,Herbivorous
Lepidophyma flavimaculatum,0,0,0.836,0,0,0.164,0,Nocturnal
Lepidophyma gaigeae,0,0,0.921,0,0.015,0,0.063,Nocturnal
Lepidophyma mayae,0.002,0,0.009,0.859,0,0.13,0,Scansorial
Lepidophyma micropholis,0,0,0.923,0,0,0.077,0,Nocturnal
Lepidophyma occulor,0,0,0.85,0,0,0.15,0,Nocturnal
Lepidophyma pajapanensis,0,0,0.997,0,0.001,0,0.003,Nocturnal
Lepidophyma smithii,0,0.568,0.346,0,0,0.086,0,Herbivorous
Lepidophyma tarascae,0,0.602,0.367,0,0,0.031,0,Herbivorous
Lepidophyma tuxtlae,0,0.594,0.362,0,0,0.044,0,Herbivorous
Lepidothyris fernandi,0,0,0.426,0,0,0.339,0.235,Nocturnal
Lepidothyris hinkeli,0,0,0,0,0,0.41,0.59,Terrestrial
Lepidothyris striatus,0,0,0,0,0,0.447,0.553,Terrestrial
Leposoma puk,0,0,0,0,0,0.086,0.914,Terrestrial
Leptosiaphos blochmanni,0,0,0,0,0,0.146,0.854,Terrestrial
Leptosiaphos graueri,0,0,0,0.11,0.869,0.021,0,Fossorial
Leptosiaphos kilimensis,0,0,0,0,0,0.223,0.777,Terrestrial
Lerista aericeps,0,0,0.006,0,0.994,0,0,Fossorial
Lerista allanae,0,0,0.025,0,0.95,0.025,0,Fossorial
Lerista allochira,0,0,0.3,0,0,0,0.7,Terrestrial
Lerista arenicola,0,0,0,0.042,0.868,0.09,0,Fossorial
Lerista axillaris,0,0,0.035,0,0.953,0.013,0,Fossorial
Lerista baynesi,0,0,0.028,0,0.951,0.021,0,Fossorial
Lerista bipes,0,0,0.027,0,0.973,0,0,Fossorial
Lerista borealis,0,0,0.021,0,0.979,0,0,Fossorial
Lerista bougainvillii,0,0,0,0,0.929,0.071,0,Fossorial
Lerista bunglebungle,0,0,0.027,0,0.973,0,0,Fossorial
Lerista christinae,0,0,0,0,1,0,0,Fossorial
Lerista cinerea,0,0,0.033,0,0.968,0,0,Fossorial
Lerista connivens,0,0,0.038,0,0.953,0.009,0,Fossorial
Lerista desertorum,0,0,0.023,0,0.95,0.027,0,Fossorial
Lerista distinguenda,0,0,0.356,0,0,0,0.644,Terrestrial
Lerista dorsalis,0,0,0.434,0,0,0,0.566,Terrestrial
Lerista edwardsae,0,0,0.02,0,0.949,0.031,0,Fossorial
Lerista elegans,0,0,0.328,0,0,0,0.672,Terrestrial
Lerista emmotti,0,0,0.005,0,0.946,0.049,0,Fossorial
Lerista fragilis,0,0,0.395,0,0,0,0.605,Terrestrial
Lerista frosti,0,0,0,0,0,0.113,0.887,Terrestrial
Lerista gascoynensis,0,0,0.03,0,0.97,0,0,Fossorial
Lerista gerrardii,0,0,0.035,0,0.953,0.013,0,Fossorial
Lerista greeri,0,0,0.023,0,0.977,0,0,Fossorial
Lerista griffini,0,0,0.027,0,0.973,0,0,Fossorial
Lerista humphriesi,0,0,0,0,1,0,0,Fossorial
Lerista ingrami,0,0,0,0.018,0.883,0,0.1,Fossorial
Lerista ips,0,0,0.033,0,0.968,0,0,Fossorial
Lerista karlschmidti,0,0,0.032,0,0.968,0,0,Fossorial
Lerista kendricki,0,0,0.027,0,0.973,0,0,Fossorial
Lerista kennedyensis,0,0,0.013,0,0.987,0,0,Fossorial
Lerista kingi,0,0,0,0,1,0,0,Fossorial
Lerista labialis,0,0,0.016,0,0.984,0,0,Fossorial
Lerista lineata,0,0,0,0.128,0.872,0,0,Fossorial
Lerista lineopunctulata,0,0,0,0,0.936,0.064,0,Fossorial
Lerista macropisthopus,0,0,0.01,0,0.947,0.043,0,Fossorial
Lerista micra,0,0,0,0,1,0,0,Fossorial
Lerista microtis,0,0,0.445,0,0,0.04,0.515,Terrestrial
Lerista muelleri,0,0,0,0,1,0,0,Fossorial
Lerista nichollsi,0,0,0.027,0,0.973,0,0,Fossorial
Lerista onsloviana,0,0,0.03,0,0.97,0,0,Fossorial
Lerista orientalis,0,0,0,0.006,0,0.044,0.95,Terrestrial
Lerista petersoni,0,0,0.434,0,0,0,0.566,Terrestrial
Lerista picturata,0,0,0.025,0,0.95,0.025,0,Fossorial
Lerista planiventralis,0,0,0.033,0,0.968,0,0,Fossorial
Lerista praepedita,0,0,0,0,1,0,0,Fossorial
Lerista punctatovittata,0,0,0.002,0,0.945,0.053,0,Fossorial
Lerista rhodonoides,0,0,0,0.103,0.878,0,0.019,Fossorial
Lerista robusta,0,0,0.022,0,0.978,0,0,Fossorial
Lerista rochfordensis,0,0,0.045,0,0.956,0,0,Fossorial
Lerista rolfei,0,0,0,0.098,0.878,0,0.024,Fossorial
Lerista simillima,0,0,0.008,0,0.992,0,0,Fossorial
Lerista storri,0,0,0.034,0,0.966,0,0,Fossorial
Lerista terdigitata,0,0,0,0.127,0.869,0.004,0,Fossorial
Lerista tridactyla,0,0,0,0,0,0.072,0.928,Terrestrial
Lerista uniduo,0,0,0.017,0,0.983,0,0,Fossorial
Lerista varia,0,0,0.04,0,0.954,0.007,0,Fossorial
Lerista verhmens,0,0,0,0.109,0.877,0,0.014,Fossorial
Lerista vermicularis,0,0,0,0,1,0,0,Fossorial
Lerista viduata,0,0,0,0,0,0.092,0.908,Terrestrial
Lerista vittata,0,0,0.038,0,0.962,0,0,Fossorial
Lerista walkeri,0,0,0.021,0,0.979,0,0,Fossorial
Lerista wilkinsi,0,0,0.037,0,0.963,0,0,Fossorial
Lerista xanthura,0,0,0.013,0,0.987,0,0,Fossorial
Lerista yuna,0,0,0.025,0,0.975,0,0,Fossorial
Lerista zonulata,0,0,0,0,1,0,0,Fossorial
Lialis burtonis,0,0,0.436,0,0,0.182,0.382,Nocturnal
Lialis jicari,0,0.534,0,0,0,0.232,0.234,Herbivorous
Liburnascincus mundivensis,0,0,0.001,0.983,0,0.015,0,Scansorial
Liburnascincus scirtetis,0,0.956,0,0,0,0.044,0,Herbivorous
Liolaemus abaucan,0,0.56,0,0,0,0.141,0.299,Herbivorous
Liolaemus albiceps,0,0.531,0,0,0,0.243,0.226,Herbivorous
Liolaemus alticolor,0,0.573,0,0,0,0.096,0.331,Herbivorous
Liolaemus andinus,0,0.533,0,0,0,0.234,0.232,Herbivorous
Liolaemus aparicioi,0.001,0,0.004,0.944,0,0.052,0,Scansorial
Liolaemus arambarensis,0,0.368,0,0,0.621,0.012,0,Fossorial
Liolaemus archeforus,0,0.533,0,0,0,0.236,0.231,Herbivorous
Liolaemus atacamensis,0,0,0,0,0,0.275,0.725,Terrestrial
Liolaemus audituvelatus,0,0,0,0,0,0.211,0.789,Terrestrial
Liolaemus austromendocinus,0,0,0,0,0,0.354,0.646,Terrestrial
Liolaemus azarai,0,0,0,0,0,0.184,0.816,Terrestrial
Liolaemus baguali,0,0,0,0,0,0.346,0.654,Terrestrial
Liolaemus bellii,0,0.835,0,0,0,0.165,0,Herbivorous
Liolaemus bibronii,0,0,0,0,0,0.252,0.748,Terrestrial
Liolaemus bitaeniatus,0,0,0,0,0,0.219,0.781,Terrestrial
Liolaemus boulengeri,0,0,0,0,0,0.279,0.721,Terrestrial
Liolaemus buergeri,0,0.788,0,0,0,0.212,0,Herbivorous
Liolaemus burmeisteri,0.002,0,0.011,0.826,0,0.16,0,Scansorial
Liolaemus calchaqui,0,0.956,0,0,0,0.044,0,Herbivorous
Liolaemus canqueli,0,0.816,0,0,0,0.184,0,Herbivorous
Liolaemus chacoensis,0,0,0,0,0,0.188,0.812,Terrestrial
Liolaemus chaltin,0,0.568,0,0,0,0.112,0.319,Herbivorous
Liolaemus chehuachekenk,0,0.523,0,0,0,0.27,0.207,Herbivorous
Liolaemus chiliensis,0,0.802,0,0,0,0.198,0,Herbivorous
Liolaemus chillanensis,0,0.849,0,0,0,0.151,0,Herbivorous
Liolaemus coeruleus,0,0,0,0,0,0.252,0.748,Terrestrial
Liolaemus confusus,0.001,0,0.006,0.909,0,0.083,0,Scansorial
Liolaemus constanzae,0,0.889,0,0,0,0.111,0,Herbivorous
Liolaemus crandalli,0,0.837,0,0,0,0.163,0,Herbivorous
Liolaemus crepuscularis,0,0.938,0,0,0,0.062,0,Herbivorous
Liolaemus cristiani,0.002,0,0.01,0.852,0,0.137,0,Scansorial
Liolaemus curicensis,0.002,0,0.007,0.891,0,0.1,0,Scansorial
Liolaemus curis,0.003,0,0.015,0.766,0,0.215,0,Scansorial
Liolaemus cuyanus,0,0.523,0,0,0,0.272,0.206,Herbivorous
Liolaemus cuyumhue,0,0,0,0,0,0.219,0.781,Terrestrial
Liolaemus cyaneinotatus,0,0.96,0,0,0,0.04,0,Herbivorous
Liolaemus cyanogaster,0.002,0,0.008,0.882,0,0.109,0,Scansorial
Liolaemus darwinii,0,0,0,0,0,0.248,0.752,Terrestrial
Liolaemus ditadai,0,0,0,0,0,0.331,0.669,Terrestrial
Liolaemus dorbignyi,0,0.812,0,0,0,0.188,0,Herbivorous
Liolaemus elongatus,0,0.833,0,0,0,0.167,0,Herbivorous
Liolaemus escarchadosi,0,0,0,0,0,0.319,0.681,Terrestrial
Liolaemus espinozai,0,0,0,0,0,0.223,0.777,Terrestrial
Liolaemus fabiani,0,0.534,0,0,0,0.232,0.234,Herbivorous
Liolaemus fittkaui,0,0,0,0,0,0.232,0.767,Terrestrial
Liolaemus fitzingerii,0,0.518,0,0,0,0.286,0.195,Herbivorous
Liolaemus foxi,0.002,0,0.011,0.835,0,0.151,0,Scansorial
Liolaemus fuscus,0,0,0,0,0,0.18,0.82,Terrestrial
Liolaemus gallardoi,0,0.533,0,0,0,0.236,0.231,Herbivorous
Liolaemus goetschi,0,0,0,0,0,0.267,0.733,Terrestrial
Liolaemus gracielae,0,0.547,0,0,0,0.187,0.266,Herbivorous
Liolaemus gracilis,0,0,0,0,0,0.202,0.798,Terrestrial
Liolaemus grosseorum,0,0,0,0,0,0.194,0.806,Terrestrial
Liolaemus gununakuna,0.003,0,0.014,0.785,0,0.198,0,Scansorial
Liolaemus hatcheri,0,0.551,0,0,0,0.172,0.277,Herbivorous
Liolaemus heliodermis,0,0.865,0,0,0,0.135,0,Herbivorous
Liolaemus huacahuasicus,0,0.548,0,0,0,0.185,0.268,Herbivorous
Liolaemus inacayali,0,0,0,0,0,0.269,0.731,Terrestrial
Liolaemus irregularis,0,0.534,0,0,0,0.23,0.235,Herbivorous
Liolaemus isabelae,0.002,0,0.012,0.824,0,0.162,0,Scansorial
Liolaemus jamesi,0,0.818,0,0,0,0.182,0,Herbivorous
Liolaemus juanortizi,0,0.53,0,0,0,0.245,0.225,Herbivorous
Liolaemus kingii,0,0.526,0,0,0,0.261,0.213,Herbivorous
Liolaemus kolengh,0.001,0,0.005,0.923,0,0.071,0,Scansorial
Liolaemus koslowskyi,0,0,0,0,0,0.292,0.708,Terrestrial
Liolaemus kriegi,0,0.78,0,0,0,0.22,0,Herbivorous
Liolaemus kuhlmanni,0,0.537,0,0,0,0.222,0.241,Herbivorous
Liolaemus laurenti,0,0.551,0,0,0,0.172,0.277,Herbivorous
Liolaemus leftrarui,0.002,0,0.011,0.838,0,0.149,0,Scansorial
Liolaemus lemniscatus,0,0,0,0,0,0.194,0.806,Terrestrial
Liolaemus leopardinus,0,0.822,0,0,0,0.177,0,Herbivorous
Liolaemus lineomaculatus,0,0.556,0,0,0,0.154,0.29,Herbivorous
Liolaemus loboi,0,0,0,0,0,0.261,0.738,Terrestrial
Liolaemus lutzae,0,0.535,0,0,0,0.228,0.237,Herbivorous
Liolaemus magellanicus,0,0.553,0,0,0,0.166,0.281,Herbivorous
Liolaemus maldonadae,0,0,0,0,0,0.304,0.696,Terrestrial
Liolaemus manueli,0.001,0,0.004,0.932,0,0.062,0,Scansorial
Liolaemus melaniceps,0,0.523,0,0,0,0.27,0.207,Herbivorous
Liolaemus melanops,0,0.527,0,0,0,0.257,0.216,Herbivorous
Liolaemus millcayac,0,0,0,0,0,0.281,0.719,Terrestrial
Liolaemus monticola,0.003,0,0.012,0.812,0,0.173,0,Scansorial
Liolaemus morenoi,0,0.536,0,0,0,0.226,0.238,Herbivorous
Liolaemus multicolor,0,0.54,0,0,0,0.212,0.249,Herbivorous
Liolaemus multimaculatus,0,0,0,0,0,0.26,0.74,Terrestrial
Liolaemus nigromaculatus,0,0.837,0,0,0,0.163,0,Herbivorous
Liolaemus nigroviridis,0,0.851,0,0,0,0.149,0,Herbivorous
Liolaemus nitidus,0,0.802,0,0,0,0.198,0,Herbivorous
Liolaemus occipitalis,0,0.909,0,0,0,0.091,0,Herbivorous
Liolaemus olongasta,0,0.558,0,0,0,0.149,0.293,Herbivorous
Liolaemus ornatus,0,0.553,0,0,0,0.166,0.281,Herbivorous
Liolaemus pachecoi,0,0.835,0,0,0,0.165,0,Herbivorous
Liolaemus pagaburoi,0,0.571,0,0,0,0.104,0.325,Herbivorous
Liolaemus petrophilus,0.003,0,0.015,0.775,0,0.207,0,Scansorial
Liolaemus pictus,0.003,0,0.015,0.764,0,0.217,0,Scansorial
Liolaemus platei,0.002,0,0.008,0.882,0,0.109,0,Scansorial
Liolaemus porosus,0,0.903,0,0,0,0.097,0,Herbivorous
Liolaemus pseudoanomalus,0,0,0,0,0,0.244,0.756,Terrestrial
Liolaemus puna,0,0.572,0,0,0,0.1,0.328,Herbivorous
Liolaemus punmahuida,0,0.827,0,0,0,0.173,0,Herbivorous
Liolaemus puritamensis,0,0.814,0,0,0,0.186,0,Herbivorous
Liolaemus purul,0,0,0,0,0,0.277,0.723,Terrestrial
Liolaemus quilmes,0,0,0,0,0,0.314,0.686,Terrestrial
Liolaemus rabinoi,0,0,0,0,0,0.244,0.756,Terrestrial
Liolaemus ramirezae,0,0.57,0,0,0,0.106,0.324,Herbivorous
Liolaemus ramonensis,0,0.831,0,0,0,0.169,0,Herbivorous
Liolaemus riojanus,0,0,0,0,0,0.223,0.777,Terrestrial
Liolaemus robertmertensi,0.001,0,0.005,0.921,0,0.073,0,Scansorial
Liolaemus robertoi,0,0.907,0,0,0,0.093,0,Herbivorous
Liolaemus rothi,0.003,0,0.015,0.764,0,0.217,0,Scansorial
Liolaemus ruibali,0,0.558,0,0,0,0.147,0.294,Herbivorous
Liolaemus sagei,0.003,0,0.015,0.775,0,0.207,0,Scansorial
Liolaemus salinicola,0,0,0,0,0,0.275,0.725,Terrestrial
Liolaemus sanjuanensis,0,0,0,0,0,0.232,0.767,Terrestrial
Liolaemus sarmientoi,0,0.822,0,0,0,0.177,0,Herbivorous
Liolaemus saxatilis,0.001,0,0.004,0.935,0,0.06,0,Scansorial
Liolaemus scapularis,0,0,0,0,0,0.275,0.725,Terrestrial
Liolaemus schroederi,0.001,0,0.007,0.898,0,0.094,0,Scansorial
Liolaemus scolaroi,0.002,0,0.01,0.842,0,0.145,0,Scansorial
Liolaemus scorialis,0.002,0,0.007,0.889,0,0.103,0,Scansorial
Liolaemus scrocchii,0,0.831,0,0,0,0.169,0,Herbivorous
Liolaemus shehuen,0,0,0,0,0,0.343,0.657,Terrestrial
Liolaemus signifer,0,0.52,0,0,0,0.282,0.198,Herbivorous
Liolaemus sitesi,0,0.879,0,0,0,0.121,0,Herbivorous
Liolaemus stolzmanni,0,0,0,0,0,0.217,0.783,Terrestrial
Liolaemus tandiliensis,0.001,0,0.004,0.944,0,0.052,0,Scansorial
Liolaemus tari,0.003,0,0.015,0.771,0,0.211,0,Scansorial
Liolaemus tenuis,0.001,0,0.006,0.912,0,0.081,0,Scansorial
Liolaemus umbrifer,0,0.849,0,0,0,0.151,0,Herbivorous
Liolaemus uniformis,0,0.849,0,0,0,0.151,0,Herbivorous
Liolaemus uptoni,0,0,0,0,0,0.308,0.692,Terrestrial
Liolaemus uspallatensis,0,0,0,0,0,0.232,0.767,Terrestrial
Liolaemus valdesianus,0,0.831,0,0,0,0.169,0,Herbivorous
Liolaemus velosoi,0,0,0,0,0,0.207,0.793,Terrestrial
Liolaemus wiegmannii,0,0,0,0,0,0.236,0.764,Terrestrial
Liolaemus xanthoviridis,0,0.525,0,0,0,0.263,0.212,Herbivorous
Liolaemus yalguaraz,0,0,0,0,0,0.209,0.791,Terrestrial
Liolaemus zabalai,0,0.841,0,0,0,0.159,0,Herbivorous
Liolaemus zapallarensis,0,0.518,0,0,0,0.286,0.195,Herbivorous
Liolaemus zullyae,0.003,0,0.012,0.812,0,0.173,0,Scansorial
Liopholis inornata,0,0.224,0,0,0.727,0.049,0,Fossorial
Liopholis kintorei,0,0.029,0,0,0.676,0.294,0,Fossorial
Liopholis modesta,0,0.822,0,0,0,0.177,0,Herbivorous
Liopholis montana,0,0,0,0,0.791,0.209,0,Fossorial
Liopholis multiscutata,0,0,0,0,0.82,0.18,0,Fossorial
Liopholis pulchra,0,0,0,0,0,0.335,0.665,Terrestrial
Liopholis slateri,0,0,0,0,0.874,0.126,0,Fossorial
Liopholis striata,0,0,0,0,0.845,0.155,0,Fossorial
Liopholis whitii,0.003,0,0.014,0.78,0,0.203,0,Scansorial
Lipinia nitens,0,0,0,0.016,0,0.01,0.975,Terrestrial
Lipinia noctua,0,0,0,0.98,0.001,0,0.019,Scansorial
Lipinia pulchella,0,0,0,0.951,0.003,0,0.046,Scansorial
Lipinia surda,0,0,0,0.972,0.002,0,0.026,Scansorial
Lipinia vittigera,0,0,0,0.912,0.005,0,0.083,Scansorial
Lissolepis coventryi,0,0.096,0,0,0.694,0.211,0,Fossorial
Lissolepis luctuosa,0.921,0,0.079,0,0,0,0,Aquatic
Lophognathus burnsi,0.004,0,0.021,0.681,0,0.294,0,Scansorial
Lophognathus gilberti,0.004,0,0.021,0.681,0,0.294,0,Scansorial
Lophosaurus boydii,0.006,0,0.026,0.6,0,0.368,0,Scansorial
Lophosaurus dilophus,0.007,0,0.031,0.528,0,0.434,0,Scansorial
Lophosaurus spinipes,0.004,0,0.021,0.678,0,0.296,0,Scansorial
Loxopholis guianense,0,0,0.371,0,0,0,0.629,Terrestrial
Loxopholis guianensis,0,0,0,0,0,0.198,0.802,Terrestrial
Loxopholis hexalepis,0,0,0,0,0,0.08,0.92,Terrestrial
Loxopholis hoogmoedi,0,0,0.002,0.969,0,0.028,0,Scansorial
Loxopholis parietalis,0,0,0,0,0,0.105,0.895,Terrestrial
Loxopholis percarinatum,0.857,0,0,0,0.056,0,0.087,Aquatic
Loxopholis rugiceps,0,0,0,0,0,0.099,0.901,Terrestrial
Loxopholis snethlageae,0,0,0,0.013,0,0.018,0.969,Terrestrial
Loxopholis southi,0,0,0,0,0,0.161,0.839,Terrestrial
Lubuya ivensii,0.993,0,0,0.007,0,0,0,Aquatic
Lucasium alboguttatum,0,0,0.446,0,0,0.025,0.529,Terrestrial
Lucasium bungabinna,0,0,0.881,0,0.023,0,0.096,Nocturnal
Lucasium byrnei,0,0,0.446,0,0,0.023,0.531,Terrestrial
Lucasium damaeum,0,0,0.445,0,0,0.038,0.517,Terrestrial
Lucasium immaculatum,0,0,0.439,0,0,0.129,0.432,Nocturnal
Lucasium maini,0,0,0.447,0,0,0.011,0.542,Terrestrial
Lucasium occultum,0,0,0.382,0,0,0,0.618,Terrestrial
Lucasium squarrosum,0,0,0.446,0,0,0.025,0.529,Terrestrial
Lucasium steindachneri,0,0,0.445,0,0,0.034,0.52,Terrestrial
Lucasium stenodactylum,0,0,0.444,0,0,0.05,0.506,Terrestrial
Lucasium wombeyi,0,0,0.856,0,0.028,0,0.116,Nocturnal
Lygisaurus foliorum,0,0,0,0,0,0.086,0.914,Terrestrial
Lygisaurus rococo,0,0,0,0.912,0.005,0,0.083,Scansorial
Lygodactylus angolensis,0,0,0,0.871,0.007,0,0.122,Scansorial
Lygodactylus angularis,0,0,0.821,0,0.034,0,0.144,Nocturnal
Lygodactylus arnoulti,0,0.943,0,0,0,0,0.057,Herbivorous
Lygodactylus bivittis,0,0,0,0.873,0.007,0,0.119,Scansorial
Lygodactylus blancae,0,0,0,0.863,0.008,0,0.129,Scansorial
Lygodactylus bradfieldi,0,0,0,0.816,0.01,0,0.173,Scansorial
Lygodactylus capensis,0,0,0,0.928,0.004,0,0.068,Scansorial
Lygodactylus chobiensis,0,0,0,0.936,0.004,0,0.061,Scansorial
Lygodactylus conradti,0,0,0,0.897,0.006,0,0.097,Scansorial
Lygodactylus conraui,0,0,0,0.905,0.005,0,0.09,Scansorial
Lygodactylus decaryi,0,0.895,0,0,0,0,0.105,Herbivorous
Lygodactylus expectatus,0,0.917,0,0,0,0,0.083,Herbivorous
Lygodactylus fischeri,0,0,0,0.92,0.005,0,0.075,Scansorial
Lygodactylus gravis,0,0,0,0.92,0.005,0,0.075,Scansorial
Lygodactylus grotei,0,0,0,0.837,0.009,0,0.154,Scansorial
Lygodactylus guibei,0,0.954,0,0,0,0,0.046,Herbivorous
Lygodactylus gutturalis,0,0,0,0.941,0.003,0,0.056,Scansorial
Lygodactylus heterurus,0,0.898,0,0,0,0,0.102,Herbivorous
Lygodactylus intermedius,0,0.918,0,0,0,0,0.082,Herbivorous
Lygodactylus keniensis,0,0,0,0.92,0.005,0,0.075,Scansorial
Lygodactylus kimhowelli,0,0.937,0,0,0,0,0.063,Herbivorous
Lygodactylus klemmeri,0,0.9,0,0,0,0,0.1,Herbivorous
Lygodactylus klugei,0,0.93,0,0,0,0,0.07,Herbivorous
Lygodactylus luteopicturatus,0,0.963,0,0,0,0,0.037,Herbivorous
Lygodactylus madagascariensis,0,0.943,0,0,0,0,0.057,Herbivorous
Lygodactylus miops,0,0.93,0,0,0,0,0.07,Herbivorous
Lygodactylus mirabilis,0,0.908,0,0,0,0,0.092,Herbivorous
Lygodactylus montanus,0,0.947,0,0,0,0,0.053,Herbivorous
Lygodactylus picturatus,0,0.965,0,0,0,0,0.034,Herbivorous
Lygodactylus pictus,0,0.958,0,0,0,0,0.042,Herbivorous
Lygodactylus rarus,0,0.943,0,0,0,0,0.057,Herbivorous
Lygodactylus scheffleri,0,0,0,0.855,0.008,0,0.137,Scansorial
Lygodactylus somalicus,0,0,0,0.842,0.009,0,0.149,Scansorial
Lygodactylus tolampyae,0,0.935,0,0,0,0,0.065,Herbivorous
Lygodactylus tuberosus,0,0.948,0,0,0,0,0.052,Herbivorous
Lygodactylus verticillatus,0,0.934,0,0,0,0,0.066,Herbivorous
Lygodactylus williamsi,0,0,0,0.855,0.008,0,0.137,Scansorial
Lygosoma albopunctata,0,0,0,0.042,0.868,0.09,0,Fossorial
Lygosoma angeli,0,0,0,0,0.786,0.214,0,Fossorial
Lygosoma bowringii,0,0,0,0,0.853,0.147,0,Fossorial
Lygosoma corpulentum,0,0,0,0,0.733,0.267,0,Fossorial
